ministere,discussions_total,discussions_avec_reponse,discussions_sans_reponse,taux_reponse_pct,taux_sans_reponse_pct,mise_en_avant
Sports,2,2,0,100,0,
Agriculture,45,40,5,88.9,11.099999999999994,Non
Éducation nationale,28,24,4,85.7,14.299999999999997,Oui
Justice,23,19,4,82.6,17.400000000000006,Non
Solidarités et Santé,115,87,28,75.7,24.299999999999997,Non
Économiques et financiers,146,98,48,67.1,32.900000000000006,Non
Transition écologique,87,55,32,63.2,36.799999999999997,Non
Cohésion des territoires,30,17,13,56.7,43.299999999999997,Non
Culture,40,21,19,52.5,47.5,Non
Intérieur,213,95,118,44.6,55.399999999999999,Non
Enseignement supérieur,22,8,14,36.4,63.600000000000001,Non
Travail,21,5,16,23.8,76.200000000000003,Non
Affaires étrangères,5,1,4,20.0,80,Non
