subject,n,percent
Adresse et géolocalisation des établissements d'enseignement des premier et second degrés,4,0.0909090909090909
Annuaire de l'éducation,5,0.113636363636364
Carte scolaire des collèges publics,6,0.136363636363636
Effectifs dans les enseignements de spécialités en Terminale générale,1,0.0227272727272727
Indicateurs de valeur ajoutée des lycées d'enseignement général et technologique (ancien),1,0.0227272727272727
Indices de position sociale dans les lycées (2022),1,0.0227272727272727
Indices de position sociale des collèges (à partir de 2023),1,0.0227272727272727
Indices de position sociale des lycées (2016-2021),1,0.0227272727272727
Indices de position sociale des lycées (à partir de 2023),1,0.0227272727272727
Indices de position sociale des écoles (2016-2021),5,0.113636363636364
Le calendrier scolaire,15,0.340909090909091
Liste des diplômes professionnels de l’éducation nationale,1,0.0227272727272727
Organisation du temps scolaire,1,0.0227272727272727
Établissements fermés,1,0.0227272727272727
